Spine,Title,Netflix Streaming,URL,Director,Country,Year,Parent
170,Trouble in Paradise,false,http://www.netflix.com/Movie/Trouble_in_Paradise/60025571,Ernst Lubitsch,United States,1932,
171,Contempt,false,http://www.netflix.com/Movie/Contempt/60000661,Jean-Luc Godard,France,1963,
172,Pépé le Moko,false,http://www.netflix.com/Movie/Pepe_le_Moko/60026054,Julien Duvivier,France,1937,
173,The Life and Death of Colonel Blimp,true,http://www.netflix.com/Movie/The_Life_and_Death_of_Colonel_Blimp/60024538,Michael Powell…,United Kingdom,1943,
174,Band of Outsiders,false,http://www.netflix.com/Movie/Band_of_Outsiders/60021427,Jean-Luc Godard,France,1964,
175,Fear and Loathing in Las Vegas,true,http://www.netflix.com/Movie/Fear_and_Loathing_in_Las_Vegas/11819434,Terry Gilliam,United States,1998,
176,The Killers,false,http://www.netflix.com/Movie/The_Killers_Criterion_Collection/60030651,,United States,,
177,The Lost Honor of Katharina Blum,false,http://www.netflix.com/Movie/The_Lost_Honor_of_Katharina_Blum/60026724,Volker Schlöndorff…,Germany,1975,
178,My Life as a Dog,true,http://www.netflix.com/Movie/My_Life_as_a_Dog/17922673,Lasse Hallström,Sweden,1985,
179,I Am Curious: Yellow,false,http://www.netflix.com/Movie/I_Am_Curious_Yellow/60026725,Vilgot Sjöman,Sweden,,
179,I Am Curious: Blue,false,http://www.netflix.com/Movie/I_Am_Curious_Blue/60026726,Vilgot Sjöman,Sweden,,
182,Straw Dogs,false,http://www.netflix.com/Movie/Straw_Dogs/1006554,Sam Peckinpah,United States,1971,
183,Les Dames du Bois de Boulogne,false,http://www.netflix.com/Movie/Les_Dames_du_Bois_de_Boulogne/60027170,Robert Bresson,France,1945,
184,"by Brakhage: An Anthology, Volume One",false,http://www.netflix.com/Movie/By_Brakhage_An_Anthology_Vol._1/60037760,Stan Brakhage,United States,,
185,The Adventures of Antoine Doinel: Supplements,false,http://www.netflix.com/Movie/Les_Salades_de_L_amour/60028299,François Truffaut,France,,
186,The Adventures of Antoine Doinel: Stolen Kisses,false,http://www.netflix.com/Movie/Stolen_Kisses/1001511,François Truffaut,France,,
187,The Adventures of Antoine Doinel: Bed and Board,true,http://www.netflix.com/Movie/Bed_and_Board/60027664,François Truffaut,France,,
